paintingId,painting_name,artist,date,painting_style,painting_genre
0_5830,Les grands Trans-parents,Man Ray,1971,Modern Art,"['Portrait', 'Nude painting']"
0_0789,Paysage de neige,André Marchand,1940,Expressionism,"['Landscape', 'Nature morte']"
0_0801,Manège des chevaux de bois,Louis Valtat,Circa 1895-1896,Impressionism,"['Landscape', 'Nature morte']"
0_0803,"La Seine au Pont-Neuf, effet de brouillard",Albert Marquet,1906,Impressionism,"['Landscape', 'Cityscape']"
0_0337,Paysage de provence,André Derain,1921-1924,Post Impressionism,"['Landscape', 'Nature morte']"
0_0809,Sainte-Adresse. Nuit,Raoul Dufy,Circa 1924-1925,,
0_0807,Sainte-Adresse. Jour,Raoul Dufy,Circa 1924-1925,Art Nouveau,"['Landscape', 'Nature morte']"
0_0853,Jeune Nancéienne dans un paysage de neige,Emile Friant,1887,Realism,"['Landscape', 'Nature morte']"
0_0855,Portrait de Madame Lebeau,Emile Friant,1889,Realism,['Portrait']
0_0759,Le pardon de l'Hymen,Maurice Denis,Circa 1907-1908,Art Nouveau,"['Religious painting', 'History painting']"
0_0761,La punition de Psyché,Maurice Denis,1907-1908,Art Nouveau,"['Nude painting', 'History painting']"
0_0763,La curiosité de Psyché,Maurice Denis,1907-1908,Art Nouveau,"['Portrait', 'Nude painting']"
0_0767,L'amour surprend Psyché,Maurice Denis,1907-1908,Art Nouveau,"['Nude painting', 'History painting']"
0_0757,La Cueillette des pommes,Ker-Xavier Roussel,Circa 1915-1917,Expressionism,"['Landscape', 'Nature morte']"
0_0755,Le graveur Vallotton dans son atelier,Edouard Vuillard,1902,Art Nouveau,"['Portrait', 'Nude painting']"
0_0753,Le Bénédicité,Henri Royer,1899,Romanticism,"['History painting', 'Portrait']"
0_0751,Le déjeuner des enfants,Pierre Bonnard,Circa 1897,Impressionism,"['Landscape', 'Nude painting']"
0_0749,Sous la lampe,Henri Lebasque,1904,Impressionism,"['Landscape', 'Nature morte']"
0_0729,La rêveuse,Julius Pascin,1920-1930,Expressionism,"['Portrait', 'Nude painting']"
0_0938,"Jeune fille à la blouse jaune, Marguerite Matisse",Henri Matisse,Circa 1921,Art Nouveau,"['Portrait', 'Nude painting']"
0_0724,La femme aux bas blancs,Suzanne Valadon,1924,Expressionism,"['Portrait', 'Nude painting']"
0_0375,Femme blonde,Amedeo Modigiliani,1918,Expressionism,"['Portrait', 'Nude painting']"
0_0701,Le dé,Juan Gris,1922,Cubism,"['Portrait', 'Landscape']"
0_0439,Le pauvre pêcheur,Aristide Maillol,1881,Realism,"['Portrait', 'Nude painting']"
0_0875,Femme à la perle,Charles-Auguste Sellier,Circa 1875,Romanticism,"['Portrait', 'Nude painting']"
0_0306,Fleurs,Maurice de Vlaminck,Circa 1924,Expressionism,"['Landscape', 'Nature morte']"
0_0942,Le voilier/ Le yacht d'Edwards,Pierre Laprade,Circa 1906-1907,Art Nouveau,"['Landscape', 'Nature morte']"
0_0726,Femme assise avec mimosa,Charles Camoin,Circa 1920,Expressionism,"['Portrait', 'Nude painting']"
0_0940,"Intimité, femme et fleurs",Maurice Brianchon,1929,Art Nouveau,"['Portrait', 'Nature morte']"
0_0934,Femme lisant,Henri Lebasque,Circa 1920,Impressionism,"['Landscape', 'Portrait']"
0_0920,Port de Gênes,Georges Dufrénoy,1914,Expressionism,"['Landscape', 'Cityscape']"
0_0922,"Menton, le port",Edmond Sigrist,Before 1937,Impressionism,"['Landscape', 'Cityscape']"
0_0303,Port de Cassis,André Fraye,1920,Expressionism,"['Landscape', 'Cityscape']"
