floorNumber_start,paintingId,user_id,duration_seconds,painting_name,artist,date,art_knowledge,art_involvement,visit_rate
0,0_0851,User_4,12.67,Le Sculpteur Bussière dans son atelier,Emile Friant,Circa 1884,General level,No involvement,A few times a year
0,0_0847,User_4,5.4,Autoportrait,Emile Friant,1895,General level,No involvement,A few times a year
0,0_0848,User_4,3.37,Autoportrait,Emile Friant,1887,General level,No involvement,A few times a year
0,0_0845,User_4,7.96,Le Travail du lundi,Emile Friant,1884,General level,No involvement,A few times a year
0,0_0853,User_4,14.01,Jeune Nancéienne dans un paysage de neige,Emile Friant,1887,General level,No involvement,A few times a year
0,0_0855,User_4,4.45,Portrait de Madame Lebeau,Emile Friant,1889,General level,No involvement,A few times a year
0,0_0759,User_4,14.76,Le pardon de l'Hymen,Maurice Denis,Circa 1907-1908,General level,No involvement,A few times a year
0,0_0761,User_4,6.74,La punition de Psyché,Maurice Denis,1907-1908,General level,No involvement,A few times a year
0,0_0763,User_4,8.82,La curiosité de Psyché,Maurice Denis,1907-1908,General level,No involvement,A few times a year
0,0_0767,User_4,3.65,L'amour surprend Psyché,Maurice Denis,1907-1908,General level,No involvement,A few times a year
